ALABAMAMetropolitan Counties ,Autauga,28,0,5,4,19,421,138,243,40,,
,Bibb,11,0,1,0,10,78,29,46,3,,
,Chilton,291,1,8,2,280,454,151,296,7,,
,Colbert,170,0,9,6,155,624,137,477,10,,
,Geneva,23,3,1,0,19,173,69,85,19,,
,Hale,58,1,6,12,39,242,88,134,20,,
,Henry,21,0,3,3,15,165,57,86,22,,
,Houston,12,3,0,2,7,477,100,319,58,,
,Jefferson,557,3,48,221,285,"5,320","1,844","2,932",544,30,
,Lawrence,39,0,2,4,33,449,143,286,20,,
,Limestone,19,0,3,2,14,240,50,150,40,,
,Lowndes,28,1,2,7,18,133,103,22,8,,
,Madison,216,4,21,31,160,"2,176",588,"1,311",277,,
,Mobile,245,7,29,80,129,"2,624",783,"1,572",269,,
,Montgomery,66,0,4,16,46,719,219,426,74,,
,Morgan,24,0,4,4,16,407,196,166,45,,
,Russell,21,1,2,4,14,105,50,43,12,,
,Shelby,83,0,12,18,53,961,341,545,75,,
,Tuscaloosa,280,4,25,58,193,"2,278",633,"1,388",257,,
,Walker,26,0,3,3,20,688,222,442,24,,
ALABAMANonmetropolitan Counties,Baldwin,134,0,23,6,105,993,316,610,67,,
,Barbour,0,0,0,0,0,2,0,2,0,,
,Bullock,31,0,0,2,29,140,64,76,0,,
,Chambers,24,0,3,1,20,163,53,107,3,,
,Cherokee,8,0,6,0,2,249,66,182,1,,
,Clarke,4,0,0,0,4,13,5,6,2,,
,Clay,7,0,0,0,7,130,47,82,1,,
,Cleburne,24,0,7,3,14,209,76,108,25,,
,Coffee,16,0,0,2,14,163,72,89,2,,
,Conecuh,0,0,0,0,0,14,4,10,0,,
,Coosa,25,1,7,4,13,173,57,107,9,,
,Crenshaw,27,0,1,3,23,189,45,118,26,,
,Cullman,108,2,24,7,75,"1,495",470,908,117,,
,Dale,34,0,5,2,27,127,38,88,1,,
,De Kalb,112,0,32,1,79,686,187,408,91,,
,Escambia,20,0,0,1,19,151,45,91,15,,
,Fayette,9,0,1,0,8,132,56,56,20,,
,Jackson,64,2,7,7,48,609,190,334,85,,
,Lamar,2,0,0,0,2,37,14,18,5,,
,Macon,28,0,3,6,19,282,119,119,44,,
,Marengo,24,0,6,5,13,174,82,82,10,,
,Marshall,35,1,8,1,25,495,152,313,30,,
,Monroe,40,0,0,1,39,100,36,51,13,,
,Perry,7,0,1,0,6,95,28,57,10,,
,Pickens,16,0,3,0,13,66,36,26,4,,
,Pike,7,0,1,0,6,98,46,50,2,,
,Talladega,62,0,7,14,41,662,210,413,39,,
,Tallapoosa,16,1,3,7,5,252,95,122,35,,
,Washington,29,0,2,3,24,52,18,32,2,,
,Winston,19,0,5,1,13,183,41,132,10,,
ARIZONA-Metropolitan Counties,Coconino,161,0,14,4,143,539,144,365,30,16,
,Maricopa,989,32,13,129,815,"8,081","2,074","4,782","1,225",84,
,Mohave,225,6,4,21,194,"3,110","1,027","1,734",349,30,
,Pima,606,25,80,165,336,"13,012","2,439","8,891","1,682",126,
,Pinal,290,11,60,41,178,"5,065",743,"3,405",917,18,
,Yavapai,325,3,12,3,307,"1,728",527,"1,054",147,12,
,Yuma,123,6,14,23,80,"1,391",284,910,197,16,
ARIZONA-Nonmetropolitan Counties,Cochise2,,2,17,17,,"1,383",564,656,163,20,
,Gila,61,0,3,0,58,396,121,219,56,6,
,La Paz,66,0,0,0,66,429,82,317,30,1,
,Navajo,65,1,8,4,52,738,393,224,121,5,
ARKANSAS-Metropolitan Counties,Cleveland,2,0,0,1,1,101,49,42,10,1,
,Craighead,22,0,4,1,17,373,135,211,27,5,
,Crittenden,81,2,8,7,64,465,178,256,31,11,
,Faulkner,44,0,2,2,40,745,162,526,57,5,
,Franklin,21,0,2,0,19,181,63,107,11,5,
,Garland,96,3,14,7,72,"2,306",936,"1,196",174,3,
,Grant,38,0,5,1,32,178,63,103,12,0,
,Jefferson,69,3,7,9,50,489,202,225,62,5,
,Lincoln,18,0,3,0,15,83,45,38,0,0,
,Lonoke,122,5,12,4,101,616,209,339,68,5,
,Madison,30,1,5,0,24,61,24,31,6,4,
,Perry,14,0,1,0,13,64,41,21,2,3,
,Poinsett,66,0,3,2,61,112,103,4,5,6,
,Pulaski,402,4,17,36,345,"2,223",898,"1,056",269,11,
,Saline,95,0,10,5,80,"1,016",315,645,56,3,
,Sebastian,66,1,6,5,54,413,150,243,20,2,
,Washington,142,1,24,4,113,657,259,354,44,4,
ARKANSAS-Nonmetropolitan Counties,Arkansas,7,0,1,0,6,90,32,47,11,1,
,Ashley,12,0,2,0,10,149,53,86,10,0,
,Baxter,31,1,0,1,29,613,112,464,37,6,
,Boone,42,2,12,0,28,301,98,171,32,4,
,Bradley,4,0,1,0,3,18,10,4,4,0,
,Calhoun,1,0,0,0,1,23,15,5,3,0,
,Carroll,27,0,2,0,25,225,53,155,17,6,
,Chicot,6,1,1,0,4,80,7,58,15,0,
,Clark,18,0,2,0,16,171,87,72,12,1,
,Clay,12,0,2,0,10,90,31,56,3,0,
,Cleburne,50,1,6,1,42,376,175,170,31,2,
,Columbia,30,0,2,3,25,199,60,132,7,0,
,Cross,35,0,1,1,33,214,41,164,9,0,
,Dallas,0,0,0,0,0,23,5,18,0,0,
,Drew,35,1,1,0,33,133,44,75,14,1,
,Fulton,11,0,1,0,10,77,38,38,1,0,
,Greene,15,0,3,0,12,203,90,106,7,4,
,Hempstead,26,0,5,1,20,139,52,74,13,1,
,Howard,8,0,3,0,5,107,51,56,0,0,
,Independence,101,2,13,6,80,"1,258",431,745,82,13,
,Izard,12,0,0,2,10,100,52,39,9,4,
,Jackson,25,0,7,0,18,164,55,93,16,2,
,Johnson,0,0,0,0,0,120,27,89,4,0,
,Lafayette,5,0,0,1,4,60,55,2,3,0,
,Lawrence,26,0,2,0,24,164,85,79,0,1,
,Lee,16,5,1,0,10,14,10,4,0,0,
,Little River,2,0,0,0,2,33,7,23,3,1,
,Logan,18,0,6,1,11,258,91,145,22,5,
,Marion,41,0,3,0,38,169,44,122,3,3,
,Mississippi,43,0,8,5,30,400,99,254,47,4,
,Monroe,2,0,0,0,2,58,16,26,16,1,
,Montgomery2,,0,3,0,,157,38,104,15,0,
,Nevada,16,2,1,1,12,32,13,17,2,0,
,Ouachita,29,1,2,5,21,215,87,106,22,2,
,Polk,31,0,1,2,28,154,66,77,11,1,
,Pope,42,0,9,0,33,378,140,209,29,3,
,Randolph,7,0,3,0,4,12,5,7,0,1,
,Scott,6,0,4,0,2,67,33,32,2,1,
,Searcy,1,0,0,0,1,15,11,3,1,0,
,Sevier,14,0,3,2,9,144,58,81,5,1,
,St. Francis,40,1,2,12,25,401,129,271,1,2,
,Stone,3,0,0,0,3,31,13,16,2,1,
,Union,25,0,1,6,18,421,68,313,40,3,
,Van Buren,21,0,1,0,20,124,26,80,18,0,
,White,62,0,14,3,45,789,285,420,84,4,
,Woodruff,0,0,0,0,0,14,1,10,3,0,
,Yell,52,0,3,1,48,116,71,27,18,6,
CALIFORNIA-Metropolitan Counties,Alameda,683,6,27,293,357,"2,864",676,"1,275",913,33,
,Butte,217,5,21,34,157,"1,502",565,920,17,50,
,Contra Costa,666,11,42,218,395,"3,503","1,147","2,336",20,35,
,El Dorado,236,3,20,24,189,"2,034",652,"1,350",32,20,
,Fresno,618,17,33,149,419,"6,497","1,705","3,812",980,,
,Imperial,106,0,10,11,85,945,301,616,28,6,
,Kern,"1,918",28,92,400,"1,398","11,001","3,118","6,352","1,531",286,
,Kings,113,4,6,22,81,460,186,262,12,,
,Los Angeles,"7,784",127,218,"2,185","5,254","20,516","5,293","9,516","5,707",455,
,Madera,310,1,13,18,278,"1,282",505,764,13,2,
,Marin,130,1,3,26,100,822,233,586,3,,
,Merced,451,8,26,40,377,"2,240",820,"1,406",14,17,
,Monterey,219,7,20,64,128,"1,952",599,"1,317",36,14,
,Napa,79,0,10,4,65,562,194,362,6,6,
,Orange,178,1,9,33,135,"1,481",296,"1,023",162,25,
,Placer,255,2,26,28,199,"1,997",634,"1,329",34,19,
,Riverside,"2,243",32,112,461,"1,638","14,935","3,829","8,226","2,880",61,
,Sacramento,"3,231",40,172,"1,251","1,768","14,912","4,695","9,928",289,111,
,San Benito,57,1,6,0,50,327,135,179,13,9,
,San Bernardino,"1,286",24,69,194,999,"6,569","2,178","2,990","1,401",114,
,San Diego,"1,699",13,99,296,"1,291","7,564","2,055","3,625","1,884",58,
,San Joaquin,"1,081",12,30,234,805,"5,269","1,751","3,334",184,26,
,San Luis Obispo,239,0,29,16,194,"1,356",449,897,10,7,
,San Mateo,238,3,9,37,189,"1,598",214,"1,122",262,4,
,Santa Barbara,193,2,35,23,133,"1,602",486,"1,108",8,6,
,Santa Clara,321,3,31,36,251,"1,757",430,"1,078",249,5,
,Santa Cruz,256,4,21,33,198,"2,396",710,"1,674",12,29,
,Shasta,349,10,31,23,285,968,369,547,52,20,
,Solano,186,2,8,27,149,518,261,244,13,23,
,Sonoma,524,2,44,37,441,"1,726",705,997,24,22,
,Stanislaus,779,12,36,120,611,"3,826","1,738","1,634",454,253,
,Sutter,124,0,6,8,110,938,357,521,60,12,
,Tulare3,488,10,36,97,345,,783,"2,038",,,
,Ventura,184,1,13,24,146,"1,303",317,891,95,19,
,Yolo,30,3,1,7,19,389,145,223,21,10,
,Yuba,222,0,17,37,168,"1,138",513,606,19,20,
CALIFORNIA-Nonmetropolitan Counties,Alpine,15,1,1,0,13,74,15,59,0,0,
,Amador,104,0,17,8,79,457,160,290,7,0,
,Calaveras,48,0,18,9,21,633,254,374,5,3,
,Colusa,34,0,2,0,32,310,82,219,9,0,
,Del Norte,57,0,21,3,33,225,104,120,1,3,
,Glenn,9,2,0,1,6,133,56,73,4,1,
,Humboldt,136,1,17,17,101,894,246,626,22,4,
,Inyo,104,0,2,0,102,132,5,126,1,2,
,Lake,147,3,9,13,122,754,334,411,9,18,
,Lassen,36,0,7,2,27,117,50,67,0,3,
,Mariposa,31,0,6,1,24,306,101,205,0,0,
,Mendocino,319,4,15,34,266,716,318,393,5,13,
,Modoc,19,0,2,0,17,104,43,61,0,1,
,Mono,14,0,4,0,10,93,40,51,2,0,
,Nevada,132,1,7,7,117,597,224,370,3,1,
,Plumas4,,1,14,6,,405,164,235,6,,
,Sierra,15,0,0,0,15,69,28,37,4,0,
,Siskiyou,50,0,6,0,44,217,86,128,3,9,
,Tehama,192,0,5,4,183,416,234,182,0,20,
,Trinity,21,2,0,5,14,112,69,42,1,0,
,Tuolumne,108,1,13,12,82,875,423,449,3,7,
COLORADO-Metropolitan Counties,Adams,404,1,75,48,280,"3,036",641,"1,793",602,27,
,Arapahoe,225,0,22,27,176,"1,548",405,961,182,26,
,Boulder,45,0,8,0,37,583,171,362,50,13,
,Clear Creek,28,0,4,0,24,88,27,55,6,4,
,Douglas,175,2,43,20,110,"2,089",474,"1,542",73,6,
,Elbert,7,0,0,0,7,44,12,27,5,0,
,El Paso,856,1,66,32,757,"2,104",544,"1,303",257,28,
,Gilpin,18,0,0,0,18,40,8,31,1,0,
,Jefferson,256,2,41,17,196,"3,049",615,"2,209",225,29,
,Larimer,96,2,17,7,70,986,209,663,114,6,
,Mesa,152,2,13,17,120,"1,365",347,879,139,15,
,Park,32,1,4,0,27,108,46,48,14,2,
,Pueblo,14,1,3,1,9,"1,362",295,"1,015",52,3,
,Teller,17,1,1,0,15,77,22,49,6,1,
,Weld,143,0,13,4,126,924,329,482,113,8,
COLORADO-Nonmetropolitan Counties,Alamosa,9,0,3,0,6,38,6,32,0,1,
,Archuleta,14,0,1,0,13,105,36,65,4,1,
,Baca,2,0,0,0,2,1,0,1,0,0,
,Bent,1,0,0,0,1,30,10,16,4,1,
,Chaffee,9,0,1,0,8,90,11,69,10,1,
,Crowley,5,0,0,0,5,0,0,0,0,0,
,Custer,7,0,0,0,7,38,7,30,1,0,
,Delta,7,0,4,0,3,126,24,81,21,0,
,Dolores,0,0,0,0,0,16,4,12,0,0,
,Eagle,68,0,7,5,56,502,98,400,4,9,
,Fremont,29,1,1,0,27,239,64,163,12,2,
,Garfield,73,0,6,1,66,289,76,175,38,8,
,Grand,10,0,0,0,10,156,30,125,1,0,
,Gunnison,13,0,0,0,13,37,14,20,3,0,
,Hinsdale,0,0,0,0,0,8,0,8,0,0,
,Huerfano,5,0,0,1,4,129,7,107,15,0,
,Jackson,2,0,0,0,2,18,2,14,2,0,
,Kiowa,1,0,0,0,1,2,1,1,0,0,
,Lake,10,0,1,2,7,17,6,6,5,1,
,La Plata,28,0,9,0,19,270,107,139,24,0,
,Las Animas,4,0,0,0,4,2,0,2,0,0,
,Logan,3,0,1,0,2,50,17,30,3,1,
,Mineral,0,0,0,0,0,1,0,0,1,0,
,Moffat,12,0,0,0,12,27,9,17,1,2,
,Montezuma,35,2,0,1,32,161,61,87,13,1,
,Montrose,24,1,2,1,20,176,61,100,15,0,
,Morgan,0,0,0,0,0,53,9,39,5,0,
,Ouray,8,0,0,0,8,29,7,21,1,0,
,Phillips,0,0,0,0,0,3,1,2,0,0,
,Pitkin,17,0,5,0,12,125,23,95,7,0,
,Prowers,5,0,2,0,3,29,5,21,3,0,
,Routt,12,0,0,0,12,34,6,22,6,1,
,Saguache,8,0,0,0,8,14,7,5,2,1,
,San Juan,0,0,0,0,0,26,2,23,1,0,
,San Miguel,6,0,0,0,6,50,13,33,4,0,
,Sedgwick,2,0,0,0,2,8,2,6,0,0,
,Summit,38,0,6,1,31,303,41,258,4,2,
,Washington,2,0,0,0,2,39,7,23,9,0,
,Yuma,7,0,0,0,7,35,14,16,5,0,
DELAWARE-Metropolitan Counties,New Castle County Police Department,"1,519",9,77,364,"1,069","7,084","1,782","4,569",733,9,
FLORIDA-Metropolitan Counties,Alachua,"1,041",1,52,156,832,"3,812","1,262","2,283",267,23,
,Baker,100,3,5,4,88,326,28,277,21,0,
,Bay,392,0,41,35,316,"2,349",572,"1,608",169,6,
,Brevard,"1,209",14,79,163,953,"5,907","1,353","4,172",382,32,
,Broward,438,7,29,128,274,"1,146",222,826,98,8,
,Charlotte,585,10,28,69,478,"4,372",975,"3,151",246,5,
,Clay,819,5,48,100,666,"4,161",920,"2,953",288,23,
,Collier,"1,297",15,58,233,991,"5,063","1,337","3,361",365,49,
,Escambia,"2,032",17,120,518,"1,377","9,730","2,391","6,493",846,43,
,Flagler,214,3,15,43,153,"2,186",564,"1,474",148,8,
,Gadsden,289,1,12,34,242,773,478,223,72,0,
,Gilchrist5,27,0,0,0,27,,67,,17,1,
,Hernando,653,1,73,70,509,"5,080","1,587","3,173",320,20,
,Hillsborough,"4,799",35,232,"1,302","3,230","29,766","6,742","19,817","3,207",107,
,Indian River,304,2,26,68,208,"2,547",617,"1,754",176,6,
,Jefferson,112,1,6,6,99,134,68,63,3,1,
,Lake,776,2,56,49,669,"3,529","1,185","1,986",358,39,
