ALABAMA - Metropolitan Counties,Bibb,20,1,2,2,15,131,64,57,10,
,Calhoun,48,0,23,8,17,862,316,539,7,
,Chilton,455,0,19,3,433,581,182,397,2,
,Etowah,11,0,7,2,2,335,125,188,22,
,"Geneva2,3",,0,3,0,,,,116,9,
,Hale,63,1,1,9,52,220,111,98,11,
,Henry,36,1,2,1,32,103,41,52,10,
,Jefferson,505,5,46,210,244,"6,131","2,334","3,260",537,22
,Lauderdale,35,3,9,2,21,798,300,460,38,
,Lawrence2,,1,3,3,,387,74,298,15,
,Lee,95,3,25,15,52,"1,662",717,860,85,
,Limestone,47,2,9,10,26,639,208,395,36,
,Lowndes,54,1,2,8,43,352,172,176,4,
,Madison,323,3,22,70,228,"2,198",750,"1,268",180,
,Montgomery,76,0,5,9,62,673,222,369,82,
,Russell,110,1,9,11,89,348,164,166,18,
,Shelby,92,1,23,9,59,"1,070",417,587,66,
,St. Clair,24,1,4,4,15,331,139,174,18,
,Tuscaloosa,230,4,23,28,175,"1,798",556,"1,049",193,
,Walker,22,0,5,8,9,504,127,324,53,
ALABAMA - Nonmetropolitan Counties,Baldwin,101,1,4,8,88,665,261,362,42,
,Barbour2,17,0,5,0,12,,40,,6,
,Bullock,28,1,0,0,27,105,56,49,0,
,Butler,37,0,3,0,34,215,94,111,10,
,Cherokee,15,0,2,0,13,79,14,56,9,
,Choctaw,5,0,0,0,5,31,17,14,0,
,Clarke,44,3,5,0,36,52,45,5,2,
,Cleburne,29,2,4,0,23,267,100,153,14,
,Coffee,21,0,2,3,16,166,56,90,20,
,Conecuh,36,1,3,4,28,91,17,68,6,
,Coosa,17,0,0,3,14,252,118,127,7,
,Covington,34,6,2,1,25,158,63,93,2,
,Crenshaw,24,0,2,3,19,186,67,104,15,
,Cullman,117,3,13,2,99,"1,098",334,709,55,
,Dale,43,3,14,0,26,130,44,82,4,
,Dallas,70,0,11,8,51,535,154,330,51,
,Fayette3,9,0,2,0,7,,,48,9,
,Franklin,26,1,2,4,19,159,54,98,7,
,Jackson,112,1,11,6,94,358,108,209,41,
,Lamar,2,0,0,0,2,8,0,8,0,
,Marengo,34,1,1,2,30,121,43,63,15,
,Marion,4,0,0,0,4,24,11,13,0,
,Marshall,73,1,9,2,61,636,219,360,57,
,Monroe,29,3,1,1,24,98,52,43,3,
,Perry,4,0,0,1,3,98,34,50,14,
,Pickens,8,0,1,0,7,94,59,32,3,
,Pike,5,0,0,2,3,105,47,52,6,
,Randolph,25,0,1,0,24,279,75,200,4,
,Talladega2,49,2,6,11,30,,359,564,,
,Tallapoosa,22,0,0,2,20,207,63,130,14,
,Washington,34,0,4,0,30,103,25,67,11,
,Wilcox,27,0,0,1,26,126,53,60,13,
,Winston,18,0,2,1,15,263,91,164,8,
ARIZONA - Metropolitan Counties,Coconino,77,2,12,3,60,565,180,353,32,4
,Maricopa,992,25,39,118,810,"6,264","1,841","3,658",765,204
,Mohave,192,1,4,18,169,"1,995",669,"1,162",164,18
,Pima,635,18,74,195,348,"11,706","2,443","8,237","1,026",133
,Pinal,214,8,50,41,115,"3,814",740,"2,494",580,18
,Yavapai,279,1,16,6,256,"1,419",468,837,114,5
,Yuma,104,6,8,4,86,797,389,320,88,11
ARIZONA - Nonmetropolitan Counties,Apache,32,2,7,0,23,189,109,75,5,0
,Cochise,472,3,14,23,432,973,402,451,120,11
,Gila,60,0,2,3,55,331,46,250,35,1
,Graham2,,0,0,1,,289,105,152,32,23
,La Paz,38,0,0,4,34,382,99,249,34,10
,Navajo,50,1,6,3,40,668,406,192,70,6
,Santa Cruz,18,2,0,9,7,391,168,130,93,1
ARKANSAS - Metropolitan Counties,Benton,158,2,16,2,138,481,226,238,17,9
,Cleveland,8,0,0,0,8,86,40,34,12,0
,Craighead,32,0,5,1,26,360,160,184,16,7
,Crittenden,75,1,9,6,59,329,108,193,28,4
