,Polk,50,0,4,0,46,232,114,112,6,5
,Pope,38,0,4,1,33,340,145,166,29,3
,Randolph,2,0,2,0,0,45,43,0,2,1
,Scott,6,0,3,0,3,85,35,41,9,2
,Searcy,8,0,1,1,6,30,14,14,2,1
,Sevier,14,0,2,1,11,178,55,113,10,2
,St. Francis,31,1,5,7,18,408,169,239,0,8
,Stone,21,0,2,0,19,109,55,52,2,1
,Union,46,1,3,6,36,370,91,252,27,0
,Van Buren,53,0,1,0,52,226,49,150,27,6
,White,70,4,11,0,55,775,312,369,94,7
,Yell,6,0,1,0,5,16,13,3,0,2
CALIFORNIA - Metropolitan Counties,Alameda,698,8,18,235,437,"2,212",622,"1,041",549,34
,Butte,133,4,18,24,87,"1,296",564,721,11,43
,Contra Costa,449,12,28,119,290,"2,754","1,011","1,729",14,23
,El Dorado,256,3,15,34,204,"1,990",864,"1,114",12,7
,Fresno,727,10,33,116,568,"4,442","1,466","2,230",746,229
,Imperial,265,2,9,13,241,600,283,295,22,10
,Kern,"1,977",34,95,463,"1,385","10,246","3,368","5,152","1,726",297
,Kings,140,1,9,12,118,594,243,306,45,10
,Los Angeles,"6,497",86,208,"1,770","4,433","17,310","5,046","8,174","4,090",243
,Madera,233,2,22,24,185,"1,357",585,755,17,2
,Marin,115,1,6,28,80,813,239,573,1,1
,Merced,484,12,22,49,401,"2,026",778,"1,227",21,7
,Monterey,228,11,19,51,147,"1,316",567,735,14,15
,Napa,56,0,3,2,51,379,157,219,3,0
,Orange,187,0,8,32,147,"1,275",255,910,110,7
,Placer,298,0,24,30,244,"1,950",645,"1,275",30,8
,Riverside,"1,018",21,50,247,700,"10,310","2,892","5,776","1,642",24
,Sacramento,"2,902",39,155,"1,131","1,577","14,506","5,038","9,309",159,124
,San Benito,53,0,4,5,44,336,134,197,5,0
,San Bernardino,"1,093",16,61,145,871,"5,580","1,942","2,574","1,064",62
,San Diego,"1,432",13,87,278,"1,054","5,985","1,755","3,106","1,124",38
,San Joaquin,738,8,17,168,545,"4,418","1,656","2,664",98,24
,San Luis Obispo,241,6,18,18,199,"1,295",437,853,5,5
,San Mateo,224,2,18,53,151,"1,770",229,"1,332",209,6
,Santa Barbara,285,3,34,27,221,"1,481",564,912,5,5
,Santa Clara,254,1,28,24,201,"1,762",438,"1,113",211,2
,Santa Cruz,301,7,18,36,240,"2,232",812,"1,419",1,20
,Shasta,582,1,54,23,504,"1,058",568,466,24,10
,Sonoma,587,0,37,49,501,"1,388",547,821,20,9
,Stanislaus,414,11,33,106,264,"3,002","1,320","1,421",261,152
,Sutter,143,3,8,12,120,661,203,413,45,1
,Tulare4,521,15,32,91,383,,"1,128","2,124",,30
,Ventura,192,1,18,31,142,"1,323",349,894,80,20
,Yolo,62,1,7,6,48,364,105,244,15,3
,Yuba,159,1,14,28,116,"1,031",390,634,7,14
CALIFORNIA - Nonmetropolitan Counties,Alpine,10,0,3,0,7,73,15,58,0,0
,Amador,60,1,9,6,44,485,180,301,4,0
,Calaveras,82,1,10,12,59,654,282,361,11,2
,Colusa,22,0,3,5,14,257,81,167,9,5
,Del Norte,82,3,19,12,48,377,218,157,2,5
,Glenn,16,1,0,0,15,180,85,85,10,1
,Humboldt,242,5,33,33,171,"1,208",450,732,26,15
,Inyo,47,0,2,1,44,139,62,74,3,7
,Lake,199,4,18,17,160,895,396,492,7,8
,Lassen,36,0,2,1,33,129,47,78,4,4
,Mariposa,37,0,5,2,30,294,124,170,0,1
,Mendocino,310,3,24,19,264,551,260,286,5,12
,Modoc,12,0,4,0,8,60,37,23,0,2
,Mono,13,0,3,0,10,71,21,50,0,0
,Nevada,137,1,17,4,115,578,250,324,4,3
,Plumas,109,0,13,5,91,326,167,155,4,1
,Sierra,19,0,0,0,19,44,10,34,0,0
,Siskiyou,37,1,2,2,32,232,99,129,4,4
,Tehama,181,1,3,11,166,278,165,112,1,2
,Trinity,34,0,4,3,27,98,33,65,0,0
,Tuolumne,97,1,21,15,60,757,325,422,10,5
COLORADO - Metropolitan Counties,Adams,477,0,80,59,338,"2,450",598,"1,456",396,31
,Arapahoe,204,2,19,31,152,"1,403",420,861,122,16
,Boulder,56,1,9,1,45,549,197,322,30,11
,Clear Creek,21,0,1,0,20,80,15,58,7,2
,Douglas,269,0,181,20,68,"1,882",336,"1,445",101,8
,Gilpin,12,0,0,0,12,23,6,15,2,0
,Jefferson5,183,1,31,21,130,"2,572",501,"1,929",142,17
,Larimer,134,0,26,15,93,927,204,672,51,10
,Mesa,163,0,25,15,123,"1,243",264,905,74,14
,Park,20,0,2,0,18,129,48,67,14,3
,Pueblo,31,3,0,7,21,"1,604",338,"1,199",67,2
,Teller,9,0,1,1,7,81,40,37,4,8
,Weld,120,0,13,6,101,834,237,516,81,9
COLORADO - Nonmetropolitan Counties,Alamosa,1,0,0,0,1,18,4,14,0,0
,Baca,0,0,0,0,0,3,1,2,0,0
,Bent,2,0,1,0,1,36,13,22,1,0
,Chaffee,11,1,4,0,6,67,11,54,2,0
,Cheyenne,0,0,0,0,0,3,0,3,0,0
,Crowley,4,0,0,0,4,0,0,0,0,0
,Delta,19,0,8,0,11,164,33,112,19,0
,Dolores,0,0,0,0,0,28,15,10,3,0
,Eagle,44,0,2,1,41,433,90,340,3,3
,Fremont6,,0,0,0,,71,41,25,5,0
,Grand,12,0,0,0,12,130,32,95,3,0
,Gunnison,10,0,0,0,10,18,5,12,1,0
,Kit Carson,2,0,1,0,1,29,8,17,4,1
,Lake,2,1,0,0,1,20,7,12,1,1
,Las Animas,0,0,0,0,0,0,0,0,0,0
,Lincoln,2,0,0,0,2,2,0,1,1,0
,Logan,10,1,1,0,8,65,16,42,7,1
,Moffat,4,0,0,0,4,44,29,14,1,3
,Montezuma,42,2,0,1,39,120,47,62,11,0
,Montrose,21,2,3,1,15,157,43,104,10,1
,Morgan,2,1,0,0,1,52,10,38,4,1
,Otero,6,0,1,0,5,40,10,29,1,0
,Pitkin,7,0,0,0,7,56,12,40,4,0
,Prowers,5,0,3,0,2,29,8,20,1,0
,Rio Blanco,0,0,0,0,0,7,2,5,0,0
,Routt,11,0,0,0,11,49,14,29,6,0
,Saguache,12,0,0,0,12,26,11,14,1,0
,San Miguel,3,0,0,0,3,19,2,15,2,0
,Summit,12,0,4,1,7,289,23,245,21,1
,Washington,5,0,2,0,3,79,15,59,5,1
DELAWARE - Metropolitan Counties,New Castle County Police Department,"1,251",7,63,352,829,"6,625","2,052","4,044",529,7
FLORIDA - Metropolitan Counties,Alachua,596,8,37,76,475,"2,788",937,"1,719",132,20
,Baker,58,0,1,7,50,336,51,272,13,1
,Bay,358,5,32,39,282,"2,816",688,"1,968",160,3
,Brevard,926,4,72,125,725,"5,348","1,311","3,816",221,20
,Broward,292,1,13,92,186,956,234,665,57,7
,Charlotte,353,1,22,45,285,"3,822",977,"2,735",110,9
,Clay,710,9,52,99,550,"3,918",793,"2,991",134,39
,Collier,977,10,50,195,722,"4,947","1,090","3,675",182,17
,Escambia,"1,928",26,178,461,"1,263","10,455","2,665","7,271",519,30
,Flagler,173,0,15,29,129,"1,952",489,"1,399",64,2
,Gadsden,294,3,7,15,269,742,336,370,36,0
,Gilchrist,40,1,1,0,38,134,59,64,11,0
,Hernando,592,9,55,82,446,"4,479","1,247","3,077",155,15
,Hillsborough,"3,136",36,142,700,"2,258","22,442","5,863","15,099","1,480",24
,Indian River,313,0,17,55,241,"2,953",818,"2,030",105,7
,Jefferson,126,0,5,4,117,171,94,62,15,3
,Lake,595,7,35,24,529,"2,813",794,"1,837",182,8
,Lee,"1,347",17,84,387,859,"9,358","3,218","5,540",600,59
,Leon,273,2,23,38,210,"1,363",427,835,101,7
,Manatee,"1,533",11,80,353,"1,089","9,838","2,745","6,728",365,29
,Marion,"1,305",6,103,78,"1,118","4,860","1,554","3,084",222,6
,Martin,362,2,11,103,246,"2,787",679,"2,009",99,5
,Miami-Dade,"6,927",87,252,"1,782","4,806","45,341","8,554","32,357","4,430",28
,Nassau,163,0,4,9,150,"1,137",382,705,50,4
