ALABAMAMetropolitan Counties,Autauga,33,0,2,4,27,375,120,215,40,,,
,Bibb,15,0,1,1,13,78,26,46,6,,,
,Colbert,0,0,0,0,0,2,0,1,1,,,
,Elmore,44,2,13,9,20,659,209,422,28,,,
,Geneva,22,0,0,3,19,214,70,104,40,,,
,Henry,14,0,0,1,13,164,53,100,11,,,
,Houston,9,0,0,4,5,373,114,229,30,,,
,Jefferson,642,9,57,227,349,"5,260","1,779","2,949",532,23,,
,Lawrence,44,2,9,6,27,524,139,360,25,,,
,Lee,49,2,11,19,17,"1,349",476,801,72,,,
,Limestone,26,0,0,6,20,362,90,243,29,,,
,Lowndes,44,1,5,11,27,145,119,20,6,,,
,Madison,284,1,25,52,206,"2,679",797,"1,623",259,,,
,Mobile,190,5,17,63,105,"2,537",843,"1,413",281,,,
,Shelby,79,2,19,16,42,996,397,498,101,,,
,St. Clair,40,1,9,1,29,321,102,191,28,,,
,Tuscaloosa,255,5,31,21,198,"2,013",593,"1,191",229,,,
,Walker,21,0,4,1,16,532,196,319,17,,,
ALABAMANonmetropolitan Counties,Baldwin,93,0,9,7,77,861,296,542,23,,,
,Butler,6,0,0,0,6,58,18,36,4,,,
,Chambers,31,1,4,7,19,195,57,138,0,,,
,Cleburne,27,0,1,2,24,222,78,121,23,,,
,Coosa,36,3,4,5,24,208,63,130,15,,,
,Crenshaw,16,0,3,1,12,185,55,116,14,,,
,Cullman,118,2,18,8,90,"1,482",415,923,144,,,
,Dale,4,0,0,1,3,23,15,8,0,,,
,De Kalb,195,1,23,2,169,674,358,210,106,,,
,Fayette,15,0,2,1,12,176,77,82,17,,,
,Franklin,4,1,1,0,2,18,10,5,3,,,
,Jackson,65,3,9,6,47,602,214,305,83,,,
,Lamar,0,0,0,0,0,5,2,3,0,,,
,Macon,21,0,2,0,19,232,108,94,30,,,
,Marengo,18,0,0,3,15,130,57,65,8,,,
,Marion,23,0,1,0,22,226,83,133,10,,,
,Marshall,36,0,5,0,31,475,144,307,24,,,
,Perry,10,2,0,2,6,62,26,30,6,,,
,Pickens,15,0,4,0,11,58,16,41,1,,,
,Pike,5,0,0,1,4,86,32,49,5,,,
,Wilcox,3,1,1,0,1,44,9,26,9,,,
ARIZONAMetropolitan Counties ,Maricopa,850,25,30,94,701,"6,698","1,734","3,936","1,028",69,,
,Mohave,204,9,4,22,169,"3,111","1,165","1,559",387,26,,
,Pima,783,18,88,214,463,"13,674","2,643","9,237","1,794",121,,
