ALABAMA - Metropolitan Counties,Autauga,81,0,9,5,67,512,186,291,35,
,Baldwin,130,3,9,27,91,870,317,496,57,
,Bibb,18,0,4,0,14,155,73,65,17,
,Blount,79,1,8,6,64,959,329,573,57,
,Calhoun,22,0,8,3,11,791,322,468,1,
,Chilton,78,0,6,5,67,599,234,315,50,
,Colbert,36,1,5,1,29,339,141,171,27,
,Elmore,52,3,13,10,26,812,339,428,45,
,Etowah,109,1,9,2,97,598,226,324,48,
,Geneva,25,0,4,1,20,196,61,124,11,
,Hale,16,0,2,1,13,97,50,34,13,
,Henry,28,2,3,1,22,130,66,55,9,
,Houston,92,2,12,9,69,625,177,403,45,
,Jefferson,676,4,49,196,427,"3,670","2,035","1,550",85,
,Lawrence,83,0,4,3,76,479,169,273,37,
,Limestone,79,3,0,4,72,544,185,331,28,
,Lowndes,37,1,3,6,27,198,92,88,18,
,Madison,286,4,30,45,207,"2,185",795,"1,232",158,
,Mobile,231,6,23,30,172,"2,356",801,"1,386",169,
,Montgomery,67,0,4,6,57,552,226,260,66,
,Pickens,10,0,0,0,10,47,21,24,2,
,Shelby,133,4,21,19,89,"1,270",297,888,85,
,Tuscaloosa,228,4,12,32,180,"1,541",449,981,111,
,Walker,99,0,5,7,87,935,370,495,70,
ALABAMA - Nonmetropolitan Counties,Barbour,21,0,1,2,18,87,33,48,6,
,Butler,46,3,4,3,36,252,117,119,16,
,Chambers,6,0,0,1,5,89,33,54,2,
,Cherokee,63,0,2,1,60,501,196,255,50,
,Choctaw,5,0,0,0,5,42,25,15,2,
,Clarke,36,0,9,3,24,119,47,63,9,
,Clay,20,0,0,0,20,43,14,24,5,
,Coffee,24,0,1,0,23,161,79,70,12,
,Conecuh,34,1,1,4,28,153,48,87,18,
,Coosa,21,0,2,2,17,224,74,138,12,
,Covington,40,1,8,1,30,328,134,173,21,
,Crenshaw,45,1,1,2,41,151,66,68,17,
,Cullman,146,1,9,3,133,"1,165",359,739,67,
,Dale,61,0,4,5,52,162,42,110,10,
,Dallas,74,4,3,9,58,538,204,298,36,
,De Kalb,211,0,13,4,194,937,390,471,76,
,Escambia,55,2,3,1,49,354,117,216,21,
,Fayette,26,1,8,1,16,82,27,42,13,
,Franklin,71,0,5,3,63,286,98,180,8,
,Jackson,107,0,9,1,97,707,306,337,64,
,Macon,39,1,1,2,35,323,167,119,37,
,Marengo,42,3,2,0,37,170,80,76,14,
,Marion,33,1,4,2,26,207,86,103,18,
,Marshall,62,1,10,5,46,708,315,357,36,
,Monroe,23,0,0,1,22,120,59,55,6,
,Pike,18,1,0,1,16,144,50,82,12,
,Randolph,35,0,2,0,33,425,181,212,32,
,Sumter,20,1,0,0,19,74,37,32,5,
,Talladega,71,1,3,10,57,839,286,484,69,
,Tallapoosa,24,1,2,1,20,171,82,82,7,
,Washington,45,2,3,2,38,154,51,88,15,
,Wilcox,10,0,0,1,9,45,19,21,5,
,Winston,57,1,4,2,50,317,110,178,29,
ARIZONA - Metropolitan Counties,Cochise,338,2,8,16,312,847,298,492,57,17
,Coconino,75,2,7,2,64,501,177,306,18,24
,Mohave,125,5,12,16,92,"2,288",790,"1,343",155,10
,Pima,661,13,94,160,394,"11,662","2,771","8,054",837,88
,Pinal2     ,173,5,29,15,124,,687,"2,440",,12
,Yavapai,252,3,23,9,217,"1,315",456,749,110,11
,Yuma,138,2,8,10,118,837,362,404,71,10
ARIZONA - Nonmetropolitan Counties,Apache,55,0,2,3,50,204,99,99,6,41
,Gila,65,0,4,4,57,383,77,275,31,8
,Graham3   ,,1,0,0,,218,80,120,18,7
,Greenlee,50,1,3,1,45,96,25,68,3,0
,La Paz,52,0,0,0,52,418,100,279,39,0
,Navajo,72,0,5,2,65,582,325,217,40,4
,Santa Cruz,8,0,0,3,5,255,116,114,25,0
ARKANSAS - Metropolitan Counties,Benton,169,0,30,3,136,576,265,282,29,5
,Cleveland,5,0,0,0,5,94,48,38,8,0
,Craighead,9,0,3,0,6,293,135,154,4,3
,Crawford,100,0,5,0,95,396,122,247,27,0
,Crittenden,142,2,2,17,121,470,184,258,28,2
,Grant,38,0,2,2,34,219,81,118,20,4
,Jefferson,71,0,10,4,57,485,220,200,65,4
,Lincoln,11,0,2,2,7,112,63,45,4,0
,Madison,47,0,9,0,38,131,47,77,7,3
,Miller,21,0,6,0,15,220,51,140,29,4
,Poinsett,14,0,10,0,4,15,9,3,3,1
,Pulaski,311,5,8,19,279,"2,068",809,"1,057",202,23
,Sebastian,56,1,6,2,47,340,148,178,14,2
,Washington,187,4,14,0,169,610,220,344,46,6
ARKANSAS - Nonmetropolitan Counties,Arkansas,9,0,0,0,9,98,19,70,9,0
,Ashley,16,1,2,1,12,198,67,115,16,4
,Baxter,35,3,5,3,24,626,172,421,33,1
,Boone,73,0,10,2,61,420,135,242,43,3
,Carroll,18,1,1,0,16,247,51,161,35,1
,Chicot,2,0,0,0,2,87,24,63,0,0
,Clark,16,0,2,0,14,139,44,89,6,0
,Clay,7,0,2,0,5,69,30,38,1,2
,Cleburne,43,0,7,3,33,532,200,294,38,8
,Columbia,17,0,0,0,17,101,34,58,9,0
,Conway,26,0,3,0,23,274,72,173,29,10
,Cross,37,0,3,0,34,50,20,28,2,3
,Dallas,2,0,1,0,1,26,8,18,0,0
,Drew,30,1,5,1,23,126,33,78,15,2
,Franklin,34,2,1,0,31,208,44,144,20,3
,Fulton,15,0,2,1,12,125,7,108,10,1
,Greene,19,0,5,1,13,236,87,142,7,1
,Hempstead,49,1,5,0,43,316,101,193,22,2
,Howard,15,0,3,0,12,79,28,51,0,0
,Independence,207,0,21,16,170,"1,537",598,818,121,25
,Izard,24,0,7,1,16,324,132,179,13,5
,Jackson,33,0,5,1,27,198,55,118,25,4
,Johnson,33,2,5,1,25,182,136,38,8,3
,Logan,29,0,9,0,20,230,90,117,23,1
,Marion,44,0,4,0,40,209,91,112,6,1
,Mississippi,18,0,1,2,15,397,96,252,49,0
,Monroe,1,0,1,0,0,54,5,49,0,0
,Nevada,2,0,0,0,2,50,19,27,4,1
,Ouachita,15,1,0,1,13,90,47,43,0,2
,Pike,6,0,1,1,4,31,12,12,7,0
,Polk,42,0,4,1,37,223,105,114,4,5
,Pope,51,1,7,0,43,457,149,270,38,0
,Prairie,0,0,0,0,0,118,9,109,0,0
,Randolph,1,0,0,0,1,47,37,10,0,2
,Searcy,12,0,1,0,11,34,18,13,3,1
,Sevier,11,0,1,0,10,210,66,131,13,0
,St. Francis,18,0,1,7,10,330,96,232,2,3
,Stone,16,0,1,0,15,94,34,53,7,2
,Union,49,0,2,7,40,374,91,255,28,0
,Van Buren,38,1,3,0,34,225,30,174,21,4
,White,46,1,7,3,35,"1,087",451,511,125,2
,Yell,27,1,1,0,25,221,74,126,21,3
CALIFORNIA - Metropolitan Counties,Alameda,651,5,23,206,417,"2,662",730,"1,182",750,8
,Butte,126,8,8,16,94,"1,165",481,676,8,1
,Contra Costa,472,10,25,120,317,"2,307",993,"1,298",16,13
,El Dorado,241,3,14,22,202,"2,024",766,"1,240",18,9
,Fresno,825,15,20,136,654,"5,248","1,934","2,366",948,191
,Imperial,139,0,6,12,121,791,352,419,20,10
,Kern,"2,179",22,85,490,"1,582","11,713","4,015","5,592","2,106",285
,Kings,183,1,13,19,150,515,207,263,45,8
,Los Angeles,"5,458",75,161,"1,490","3,732","16,981","4,816","8,223","3,942",207
,Madera,353,0,14,19,320,"1,660",794,840,26,8
,Marin,107,0,3,25,79,733,218,511,4,4
,Merced,544,8,15,45,476,"2,036",741,"1,267",28,5
,Monterey,199,7,17,63,112,"1,336",523,792,21,11
,Napa,53,0,4,3,46,342,115,226,1,0
,Orange,258,0,9,33,216,"1,405",338,954,113,3
,Placer,278,0,24,27,227,"1,670",568,"1,069",33,11
,Riverside,831,18,22,183,608,"8,197","2,633","4,354","1,210",19
,Sacramento,"3,047",32,186,999,"1,830","12,936","4,645","8,190",101,55
,San Benito,55,0,3,7,45,273,76,182,15,0
,San Bernardino,988,13,61,164,750,"6,460","2,317","2,919","1,224",62
,San Diego,"1,630",17,82,239,"1,292","6,438","1,939","3,457","1,042",22
,San Joaquin,810,12,27,155,616,"4,550","1,771","2,625",154,20
,San Luis Obispo,219,4,11,25,179,"1,309",494,806,9,8
,San Mateo,300,0,19,45,236,"2,526",471,"1,767",288,6
,Santa Barbara,273,3,43,28,199,"1,826",568,"1,243",15,14
,Santa Clara,232,2,25,20,185,"1,709",350,"1,164",195,2
,Santa Cruz,285,5,20,32,228,"1,910",721,"1,182",7,7
,Shasta,506,4,25,23,454,996,522,430,44,29
,Sonoma,605,0,35,38,532,"1,406",539,856,11,16
,Stanislaus,418,13,14,115,276,"2,337","1,021","1,252",64,12
,Sutter,71,1,4,2,64,786,257,487,42,1
,Tulare4  ,638,17,40,90,491,,"1,177","1,848",,0
