,Clark,12,0,1,1,10,142,44,88,10,1,,
,Clay,8,0,2,0,6,76,26,48,2,0,,
,Cleburne,41,1,6,0,34,495,253,195,47,5,,
,Columbia,41,0,0,2,39,212,55,139,18,0,,
,Conway,25,1,1,3,20,322,74,229,19,5,,
,Cross,27,0,4,0,23,28,19,6,3,2,,
,Dallas,1,0,0,0,1,26,7,19,0,1,,
,Drew,30,0,6,1,23,122,38,69,15,2,,
,Fulton,16,0,0,0,16,153,67,79,7,6,,
,Greene,21,0,2,0,19,266,96,154,16,0,,
,Hempstead,42,0,4,0,38,195,47,126,22,6,,
,Howard,14,0,4,0,10,85,36,46,3,0,,
,Independence,136,0,10,12,114,"1,546",691,758,97,14,,
,Izard,2,0,1,0,1,186,69,117,0,1,,
,Jackson,23,0,0,2,21,164,49,102,13,2,,
,Johnson,21,0,1,0,20,225,189,36,0,8,,
,Lafayette,4,0,0,0,4,71,17,54,0,0,,
,Lawrence,8,0,1,0,7,129,38,91,0,3,,
,Lee,7,2,0,0,5,66,18,44,4,0,,
,Little River,6,0,0,0,6,72,22,47,3,4,,
,Logan,20,0,9,2,9,311,120,164,27,1,,
,Marion,35,0,2,1,32,219,85,132,2,6,,
,Mississippi,35,0,6,2,27,343,81,226,36,2,,
,Monroe,1,0,0,0,1,51,7,44,0,0,,
,Montgomery,4,0,0,0,4,19,7,12,0,0,,
,Nevada,6,0,0,0,6,45,19,24,2,1,,
,Newton,10,0,2,0,8,79,25,51,3,1,,
,Ouachita,2,0,0,0,2,22,13,9,0,1,,
,Pike,7,1,3,0,3,30,13,13,4,1,,
,Polk,39,0,3,0,36,204,87,103,14,14,,
,Pope,60,0,10,2,48,460,165,256,39,2,,
,Prairie,0,0,0,0,0,50,10,38,2,0,,
,Scott,8,0,4,0,4,66,20,43,3,2,,
,Searcy,10,0,0,0,10,28,16,10,2,0,,
,Sevier,19,1,0,2,16,168,45,101,22,2,,
,St. Francis,23,1,3,5,14,379,105,274,0,2,,
,Stone,18,0,4,0,14,119,56,61,2,3,,
,Union,34,0,0,11,23,436,127,268,41,0,,
,Van Buren,46,0,2,0,44,219,51,140,28,5,,
,White,56,3,10,4,39,907,373,438,96,3,,
