ALABAMA - Metropolitan Counties,Autauga,68,2,8,,6,52,414,170,199,45,
,Baldwin,98,0,4,,18,76,662,230,405,27,
,Bibb,4,0,1,,0,3,82,42,34,6,
,Blount,90,0,6,,1,83,923,311,524,88,
,Calhoun,15,0,3,,1,11,471,200,266,5,
,Chilton,79,0,18,,2,59,532,223,260,49,
,Colbert,58,0,16,,4,38,436,131,264,41,
,Elmore,52,0,13,,11,28,868,357,452,59,
,Etowah,86,0,22,,3,61,615,239,326,50,
,Geneva,52,2,7,,0,43,150,76,60,14,
,Hale,14,0,1,,0,13,98,35,53,10,
,Henry,19,0,3,,2,14,129,56,62,11,
,Houston,80,1,20,,6,53,515,164,307,44,
,Lawrence,66,1,11,,8,46,435,142,247,46,
,Limestone,82,0,11,,2,69,585,188,362,35,
,Lowndes,49,2,10,,3,34,241,114,106,21,
,Madison,342,6,55,,50,231,"2,175",637,"1,370",168,
,Mobile,139,3,26,,15,95,"2,079",670,"1,201",208,
,Montgomery,20,0,5,,7,8,220,94,104,22,
,Russell,43,4,10,,4,25,453,159,255,39,
,St. Clair,29,0,4,,1,24,268,185,83,0,
,Tuscaloosa,213,3,19,,20,171,"1,284",366,790,128,
,Walker,103,1,12,,10,80,"1,058",339,580,139,
ALABAMA - Nonmetropolitan Counties,Barbour,17,2,2,,2,11,128,68,55,5,
,Bullock,15,0,0,,3,12,84,65,15,4,
,Butler,44,1,7,,4,32,214,93,113,8,
,Chambers,4,0,0,,2,2,96,52,43,1,
,Cherokee,49,2,8,,2,37,388,131,216,41,
,Clarke,72,0,6,,4,62,113,48,49,16,
,Clay,17,0,1,,0,16,31,10,17,4,
,Coffee,28,0,7,,2,19,203,80,96,27,
,Coosa,13,0,1,,0,12,201,74,121,6,
,Covington,22,0,4,,0,18,210,76,115,19,
,Crenshaw,52,1,3,,2,46,143,56,73,14,
,Cullman,84,2,34,,8,40,"1,030",297,646,87,
,Dale,29,1,9,,0,19,190,55,119,16,
,Dallas,65,2,10,,9,44,462,182,251,29,
,DeKalb,128,2,28,,4,94,810,312,427,71,
,Escambia,24,0,0,,6,18,133,47,78,8,
,Franklin,26,0,5,,1,20,317,127,166,24,
,Greene,24,1,1,,4,18,90,33,46,11,
,Jackson,81,3,20,,0,58,588,264,274,50,
,Lamar,16,0,2,,0,14,29,9,18,2,
,Macon,24,0,4,,7,13,151,64,78,9,
,Marengo,33,0,3,,3,27,178,64,102,12,
,Marion,30,1,5,,2,22,188,66,110,12,
,Marshall,47,0,9,,3,35,447,220,203,24,
,Monroe,34,0,0,,1,33,136,40,85,11,
,Pike,15,0,1,,1,13,155,38,105,12,
,Randolph,2,0,0,,0,2,169,81,87,1,
,Talladega,74,0,1,,10,63,901,340,492,69,
,Tallapoosa,19,0,9,,0,10,146,71,63,12,
,Washington,22,0,2,,0,20,86,25,52,9,
,Wilcox,52,2,0,,3,47,105,38,62,5,
,Winston,15,0,6,,0,9,86,35,47,4,
ARIZONA - Metropolitan Counties,Coconino,91,3,17,,3,68,459,147,300,12,39
,Maricopa,"1,114",17,80,,81,936,"5,022","1,195","3,351",476,50
,Mohave,163,3,46,,23,91,"2,155",809,"1,186",160,23
,Pima,976,12,69,,161,734,"9,199","1,898","6,697",604,64
,Pinal,194,7,56,,16,115,"3,015",530,"2,125",360,13
,Yuma,152,5,14,,12,121,"1,126",510,537,79,16
ARIZONA - Nonmetropolitan Counties,Apache,60,0,4,,0,56,205,112,90,3,71
,Gila,76,0,1,,1,74,398,119,247,32,8
,Graham,118,0,0,,18,100,181,83,77,21,4
,La Paz,26,1,2,,2,21,424,149,240,35,1
,Navajo,69,0,4,,1,64,499,255,207,37,1
,Santa Cruz,8,0,1,,2,5,234,95,108,31,0
ARKANSAS - Metropolitan Counties,Benton,85,1,23,,2,59,458,227,217,14,0
,Cleveland,2,0,1,,0,1,76,39,34,3,0
,Craighead,29,0,7,,1,21,244,89,147,8,3
,Crawford,52,0,6,,0,46,367,91,242,34,2
,Crittenden,102,2,8,,6,86,348,101,218,29,2
,Faulkner,116,2,25,,4,85,"1,234",312,752,170,5
,Garland,387,0,45,,18,324,"2,021",890,983,148,0
,Grant,18,0,4,,0,14,179,45,117,17,0
,Lincoln,2,0,0,,0,2,87,33,48,6,1
,Lonoke,80,0,11,,2,67,435,76,277,82,4
,Madison,37,0,8,,0,29,146,55,84,7,0
,Miller,35,0,3,,1,31,282,137,117,28,1
,Perry,53,0,6,,0,47,218,85,124,9,0
,Poinsett,3,0,2,,0,1,8,5,3,0,2
,Pulaski,357,4,23,,35,295,"2,014",629,"1,204",181,9
,Saline,213,0,18,,8,187,727,194,456,77,3
,Sebastian,62,0,10,,1,51,253,64,177,12,2
,Washington,163,2,11,,4,146,483,172,264,47,4
ARKANSAS - Nonmetropolitan Counties,Arkansas,7,1,0,,1,5,133,22,90,21,0
,Ashley,31,1,4,,1,25,273,106,159,8,2
,Baxter,38,0,14,,2,22,651,174,441,36,4
,Boone,50,1,21,,0,28,361,114,220,27,7
,Calhoun,2,0,0,,0,2,33,11,18,4,1
,Carroll,43,0,7,,1,35,178,34,126,18,6
,Chicot,4,0,1,,0,3,142,62,80,0,0
,Clark,10,0,2,,1,7,94,19,65,10,0
,Cleburne,39,0,9,,2,28,437,146,235,56,7
,Columbia,29,0,1,,0,28,105,38,51,16,2
,Conway,28,0,5,,2,21,292,49,216,27,5
,Cross,31,0,5,,1,25,161,29,114,18,0
,Dallas,5,0,0,,0,5,30,12,15,3,0
,Drew,52,0,11,,0,41,140,50,79,11,4
,Franklin,38,1,11,,1,25,186,66,111,9,2
,Fulton,11,1,1,,1,8,90,0,79,11,3
,Greene,18,1,1,,0,16,171,57,99,15,0
,Hempstead,56,0,14,,0,42,246,34,196,16,6
,Howard,4,0,0,,0,4,78,45,33,0,0
,Independence,176,1,42,,10,123,"1,298",384,829,85,16
,Izard,24,0,5,,0,19,329,77,241,11,3
,Jackson,39,1,1,,0,37,197,45,133,19,6
,Johnson,40,1,11,,1,27,170,98,65,7,3
,Lafayette,7,0,0,,0,7,56,15,40,1,0
,Lawrence,11,0,1,,1,9,57,19,35,3,0
,Lee,2,0,0,,1,1,10,3,7,0,0
,Marion,42,0,5,,1,36,241,74,163,4,3
,Mississippi,28,0,3,,2,23,373,83,265,25,1
,Monroe,2,1,0,,1,0,17,1,16,0,0
,Montgomery,20,1,8,,0,11,110,46,59,5,0
,Nevada,5,0,2,,0,3,33,18,14,1,0
,Newton,17,0,6,,0,11,60,34,25,1,0
,Pike,13,1,5,,0,7,68,19,45,4,2
,Polk,35,0,9,,0,26,185,54,115,16,2
,Pope,60,1,15,,0,44,414,138,247,29,2
,Prairie,11,0,3,,0,8,62,21,30,11,3
,Randolph,33,4,5,,0,24,235,91,136,8,3
,Scott,20,1,3,,1,15,104,45,57,2,4
,Searcy,9,0,2,,0,7,22,6,12,4,1
,Sevier,9,0,2,,0,7,226,79,130,17,1
,St. Francis,19,0,0,,3,16,294,76,217,1,2
,Stone,13,0,4,,0,9,140,57,75,8,2
,Union,48,0,2,,3,43,388,103,258,27,2
,Van Buren,34,0,1,,0,33,287,43,215,29,5
,White,86,4,41,,3,38,905,336,474,95,4
,Woodruff,1,0,0,,0,1,56,7,42,7,0
,Yell,39,1,13,,2,23,228,72,140,16,4
CALIFORNIA - Metropolitan Counties,Alameda4,588,2,26,,182,378,"2,111",540,887,684,8
,Butte,82,9,,3,16,54,"1,119",581,525,13,0
,Contra Costa,412,10,,37,107,258,"2,145",784,"1,341",20,14
,El Dorado,240,3,,30,23,184,"1,969",625,"1,288",56,11
,Fresno,735,10,,22,91,612,"3,368","1,108","1,702",558,150
,Imperial,214,1,,6,9,198,584,247,316,21,5
,Kern4,"1,982",26,109,,327,"1,520","9,061","3,127","4,413","1,521",199
,Kings,144,5,,12,11,116,427,160,236,31,1
,Los Angeles,"5,091",71,,201,"1,280","3,539","15,402","3,949","7,992","3,461",198
,Madera,383,3,,22,18,340,"1,162",504,621,37,7
,Marin,91,2,,5,19,65,617,201,404,12,1
,Merced,465,15,,9,32,409,"1,536",490,"1,003",43,12
,Monterey,256,7,38,,32,179,"1,341",439,872,30,9
,Napa,42,3,,7,2,30,272,121,147,4,3
,Orange4,252,5,27,,23,197,"1,161",248,789,124,8
,Placer,289,0,,26,26,237,"1,600",514,"1,049",37,8
,Riverside,749,17,,56,144,532,"6,718","1,972","3,705","1,041",22
,Sacramento4,"2,978",44,181,,916,"1,837","11,283","3,820","7,314",149,63
,San Benito,60,1,,4,5,50,221,81,126,14,1
,San Bernardino,972,18,65,,154,735,"5,206","1,778","2,311","1,117",70
,San Diego4,"1,315",13,78,,194,"1,030","4,726","1,335","2,674",717,34
,San Joaquin4,698,10,16,,147,525,"3,802","1,254","2,410",138,30
,San Luis Obispo,265,2,,10,12,241,"1,226",521,696,9,3
,San Mateo,264,1,,38,65,160,"2,427",491,"1,653",283,6
,Santa Barbara,302,11,,41,32,218,"1,539",487,"1,047",5,13
,Santa Clara,255,1,31,,20,203,"1,274",282,801,191,5
,Santa Cruz,286,0,,20,29,237,"1,701",657,"1,035",9,15
,Shasta4,569,3,49,,18,499,851,429,387,35,29
,Solano,102,0,,1,16,85,390,192,168,30,9
,Sonoma,613,2,,41,42,528,"1,365",525,829,11,11
,Stanislaus,365,12,,14,103,236,"2,088",835,"1,200",53,15
,Sutter,93,0,,3,13,77,630,217,385,28,7
,"Tulare4, 5",446,12,22,,74,338,"1,938",747,"1,191",0,0
,Ventura4,119,2,25,,7,85,880,256,563,61,8
,Yolo,74,0,,8,1,65,289,89,186,14,8
,Yuba,205,1,,17,40,147,"1,298",425,861,12,14
CALIFORNIA - Nonmetropolitan Counties,Alpine,4,0,,1,0,3,24,10,14,0,0
,Amador,55,1,,3,6,45,383,134,246,3,3
,Calaveras,106,0,,12,9,85,833,275,555,3,0
,Colusa,25,0,,1,0,24,163,59,104,0,2
,Del Norte,102,1,,23,9,69,350,207,142,1,4
,Glenn,81,0,,21,5,55,203,88,113,2,2
,Humboldt,202,6,,14,34,148,872,406,447,19,11
,Inyo,79,0,,11,3,65,156,61,94,1,2
,Lake,193,4,,21,9,159,665,307,352,6,13
,Lassen,33,1,,2,3,27,184,79,105,0,2
,Mariposa,71,0,,6,3,62,267,81,186,0,0
,Mendocino,310,5,,14,25,266,532,235,293,4,12
,Modoc,20,0,,0,0,20,73,30,42,1,0
,Mono,8,0,,1,1,6,69,22,45,2,0
,Nevada,145,3,,3,6,133,585,296,278,11,2
,Plumas,90,1,,7,0,82,279,113,165,1,1
,Sierra,11,0,,0,0,11,29,12,16,1,0
,Siskiyou4,31,1,2,,2,26,169,72,92,5,1
,Tehama,156,5,,3,11,137,222,120,101,1,0
,Trinity,34,3,,3,6,22,149,56,93,0,2
,Tuolumne,129,0,,27,6,96,647,290,352,5,6
COLORADO - Metropolitan Counties,Adams,462,6,80,,58,318,"2,319",442,"1,401",476,37
,Arapahoe,215,1,40,,21,153,"1,292",345,796,151,12
,Clear Creek,28,0,5,,0,23,77,20,50,7,0
,Douglas,151,1,62,,6,82,"1,440",301,"1,034",105,8
,Elbert,0,0,0,,0,0,2,0,2,0,0
,El Paso,438,3,71,,24,340,"2,202",610,"1,406",186,31
,Gilpin,10,0,0,,0,10,59,14,36,9,0
,Jefferson,167,4,47,,15,101,"2,161",366,"1,656",139,14
,Larimer,109,2,26,,2,79,838,223,536,79,13
,Mesa,203,2,42,,13,146,"1,083",222,757,104,19
,Park,18,0,2,,0,16,48,21,24,3,0
,Pueblo,51,0,4,,6,41,"1,231",243,896,92,2
,Teller,34,0,7,,1,26,64,24,36,4,3
,Weld,154,2,19,,6,127,765,218,489,58,7
COLORADO - Nonmetropolitan Counties,Alamosa,0,0,0,,0,0,39,3,36,0,1
,Baca,1,0,1,,0,0,5,1,1,3,0
,Bent,8,0,1,,1,6,69,26,37,6,0
,Chaffee,4,0,2,,0,2,63,18,35,10,0
,Cheyenne,2,0,0,,0,2,0,0,0,0,0
,Conejos,1,0,1,,0,0,13,5,8,0,0
,Costilla,8,0,0,,0,8,18,8,7,3,0
,Crowley,3,0,0,,0,3,4,4,0,0,0
,Custer,4,0,0,,0,4,35,6,25,4,0
,Delta,4,0,4,,0,0,111,24,77,10,0
,Dolores,2,0,1,,0,1,18,14,2,2,0
,Eagle,45,3,8,,2,32,300,52,233,15,4
,Fremont,42,1,6,,1,34,186,49,117,20,2
,Garfield,27,1,16,,0,10,185,47,126,12,4
,Grand,8,0,4,,0,4,46,8,37,1,0
,Gunnison,1,0,0,,0,1,19,2,17,0,3
,Hinsdale,0,0,0,,0,0,4,1,3,0,0
,Huerfano,8,0,2,,0,6,16,1,11,4,0
,Jackson,0,0,0,,0,0,2,0,2,0,0
,Kit Carson,4,0,1,,0,3,40,10,24,6,0
,Lake,5,0,2,,1,2,49,11,30,8,0
,La Plata,37,0,18,,0,19,183,59,109,15,1
,Las Animas,1,0,0,,0,1,1,0,0,1,1
,Lincoln,4,0,0,,0,4,12,2,7,3,0
,Logan,11,0,1,,0,10,89,22,64,3,1
,Moffat,0,0,0,,0,0,6,4,2,0,0
,Montezuma,34,0,4,,1,29,156,48,96,12,2
,Montrose,33,0,9,,3,21,253,94,139,20,1
,Morgan,11,0,3,,0,8,95,15,67,13,2
,Ouray,0,0,0,,0,0,0,0,0,0,0
,Phillips,3,0,2,,0,1,4,1,2,1,0
,Pitkin,4,1,0,,0,3,29,2,26,1,0
,Prowers,2,0,0,,0,2,17,6,10,1,0
,Rio Blanco,0,0,0,,0,0,37,0,36,1,0
,Rio Grande,2,0,0,,0,2,14,11,3,0,0
,Routt,6,0,1,,0,5,45,11,33,1,1
,Saguache,3,0,0,,0,3,36,11,22,3,0
,San Juan,1,1,0,,0,0,17,4,13,0,0
,San Miguel,0,0,0,,0,0,0,0,0,0,0
,Sedgwick,8,0,1,,0,7,22,6,16,0,0
,Summit,21,0,14,,0,7,200,43,146,11,2
DELAWARE - Metropolitan Counties,New Castle County Police Department,875,9,70,,195,601,"5,083","1,536","3,226",321,2
FLORIDA - Metropolitan Counties,Alachua,572,1,50,,78,443,"2,086",634,"1,356",96,16
,Baker,136,0,1,,6,129,316,70,237,9,5
,Bay,321,6,41,,23,251,"2,523",515,"1,850",158,7
,Brevard,735,7,83,,85,560,"4,515",933,"3,399",183,15
,Broward,268,2,32,,64,170,839,154,635,50,4
,Charlotte,286,2,25,,25,234,"2,626",521,"2,007",98,11
,Citrus,486,4,50,,50,382,"2,382",528,"1,709",145,12
,Clay,437,5,38,,91,303,"3,704",690,"2,909",105,18
,Collier,877,4,82,,155,636,"4,423",798,"3,366",259,18
,Escambia,"1,761",18,148,,306,"1,289","9,819","2,357","6,908",554,30
,Flagler,216,0,13,,29,174,"1,572",286,"1,221",65,8
,Gadsden,115,0,10,,5,100,469,236,212,21,8
,Gilchrist,50,7,2,,1,40,131,57,64,10,0
,Gulf,42,1,1,,1,39,228,63,156,9,0
,Hernando,405,5,46,,46,308,"3,691",787,"2,697",207,19
,Highlands,220,9,17,,34,160,"2,015",644,"1,296",75,9
,Hillsborough,"1,937",22,154,,444,"1,317","16,149","3,504","11,592","1,053",37
,Indian River,285,4,14,,25,242,"1,996",485,"1,448",63,2
,Jefferson,123,0,6,,1,116,155,86,54,15,2
,Lake,409,3,65,,26,315,"2,751",930,"1,641",180,8
,Lee,"1,275",19,111,,343,802,"7,830","2,034","5,234",562,35
,Leon,344,3,25,,19,297,"2,393",595,"1,682",116,9
,Manatee,"1,511",9,180,,216,"1,106","7,188","1,597","5,258",333,13
,Marion,"1,038",12,96,,79,851,"3,702","1,101","2,419",182,6
,Martin,311,5,40,,63,203,"1,958",475,"1,418",65,8
,Miami-Dade,"6,571",84,421,,"1,835","4,231","38,791","6,440","29,213","3,138",28
,Nassau,55,1,0,,14,40,958,238,651,69,4
,Okaloosa,558,2,54,,62,440,"3,100",633,"2,355",112,3
,Orange,"5,551",71,517,,"1,438","3,525","26,111","6,760","17,333","2,018",0
,Osceola,686,3,69,,64,550,"4,539","1,299","3,079",161,4
,Palm Beach,"2,034",24,214,,494,"1,302","12,935","3,195","8,719","1,021",59
,Pasco,"1,116",18,124,,165,809,"9,365","2,234","6,502",629,50
,Pinellas,872,6,111,,124,631,"5,454","1,330","3,832",292,11
,Polk,"1,237",4,70,,159,"1,004","7,308","2,466","4,266",576,51
,Santa Rosa,219,5,28,,15,171,"1,435",379,962,94,2
,Sarasota,522,6,33,,99,384,"5,068","1,096","3,792",180,3
,Seminole,556,6,58,,53,439,"3,034",834,"2,069",131,1
,St. Johns,429,3,13,,36,377,"3,019",607,"2,279",133,1
,St. Lucie,239,2,22,,23,192,"1,426",313,"1,031",82,8
,Sumter,155,2,22,,12,119,908,279,583,46,10
,Volusia,697,4,82,,89,522,"4,310","1,125","2,918",267,26
,Wakulla,86,1,11,,2,72,611,102,481,28,1
,Walton,198,0,23,,6,169,"1,188",338,787,63,1
FLORIDA - Nonmetropolitan Counties,Bradford,85,0,14,,4,67,147,67,71,9,0
,Calhoun,17,0,3,,0,14,76,30,44,2,1
,Columbia,238,0,22,,10,206,"1,152",561,562,29,5
,DeSoto,108,2,10,,13,83,764,242,503,19,2
,Dixie,67,2,10,,1,54,354,161,183,10,7
,Franklin,26,1,3,,1,21,76,24,48,4,0
,Glades,35,0,0,,3,32,130,39,80,11,0
,Hamilton,44,1,7,,4,32,215,99,109,7,3
,Hardee,49,0,8,,5,36,385,94,272,19,1
,Hendry,221,1,16,,19,185,854,387,424,43,4
,Holmes,53,0,8,,0,45,238,96,122,20,1
,Jackson,115,1,12,,11,91,575,121,441,13,2
,Lafayette,22,0,1,,1,20,48,21,25,2,2
,Liberty,7,0,1,,0,6,47,9,38,0,0
,Madison,110,0,7,,7,96,211,71,136,4,1
,Monroe,188,0,13,,21,154,"1,419",257,"1,102",60,8
,Okeechobee,135,1,14,,16,104,945,239,658,48,1
,Putnam,327,1,13,,31,282,"1,501",499,932,70,4
,Suwannee,147,0,4,,3,140,442,118,307,17,1
,Taylor,79,0,10,,0,69,159,65,83,11,2
,Union,46,0,3,,1,42,115,58,51,6,0
,Washington,34,1,5,,3,25,244,88,135,21,0
GEORGIA - Metropolitan Counties6,Bartow,328,2,,21,24,281,"2,367",638,"1,537",192,0
,Bibb6,774,16,,58,317,383,"8,568","2,336","5,552",680,68
,Brantley,31,0,,4,0,27,543,120,400,23,0
,Brooks,12,1,,0,2,9,176,59,96,21,0
,Bryan,38,2,,0,2,34,308,46,250,12,0
,Burke,71,2,,1,1,67,430,109,298,23,0
,Butts,39,1,,3,2,33,361,78,260,23,0
,Carroll,136,4,,14,15,103,"1,660",567,931,162,5
,Catoosa,77,2,,6,8,61,891,172,627,92,7
,Chattahoochee,0,0,,0,0,0,8,7,0,1,
,Cherokee,129,1,,26,20,82,"1,774",385,"1,244",145,2
,Clarke,4,0,,0,0,4,0,0,0,0,0
,Clayton,15,0,,0,0,15,22,0,8,14,
,Clayton County Police Department,"1,266",20,,65,520,661,"8,534","2,967","4,413","1,154",28
,Cobb,0,0,,0,0,0,0,0,0,0,0
,Cobb County Police Department,964,14,,63,392,495,"10,859","2,387","7,564",908,23
,Columbia,66,1,,13,10,42,"1,995",251,"1,662",82,10
,Coweta,129,4,,15,16,94,"1,410",361,956,93,
,Crawford,12,0,,2,2,8,313,87,216,10,1
,Dade,109,0,,0,0,109,111,25,86,0,
,Dawson,21,1,,3,1,16,439,82,334,23,2
,DeKalb,0,0,,0,0,0,0,0,0,0,0
,DeKalb County Police Department,"3,210",69,,123,"1,661","1,357","25,671","7,658","14,093","3,920",132
,Dougherty,2,0,,0,0,2,111,4,105,2,0
,Dougherty County Police Department,18,0,,0,1,17,281,112,122,47,0
,Douglas,191,2,,22,39,128,"1,644",436,"1,064",144,7
,Echols,4,0,,2,0,2,26,11,15,0,0
,Effingham,33,0,,2,10,21,334,180,110,44,7
,Fayette,44,1,,2,8,33,581,178,371,32,0
,Floyd,17,1,,1,6,9,80,20,59,1,0
,Floyd County Police Department,76,1,,14,14,47,"1,699",411,"1,166",122,15
,Forsyth,107,1,,16,9,81,"1,515",297,"1,160",58,0
,Fulton,3,0,,0,0,3,2,0,2,0,0
,Fulton County Police Department,955,15,,29,444,467,"5,965","1,397","3,733",835,8
,Glynn County Police Department,202,3,,14,49,136,"2,522",575,"1,859",88,4
,Gwinnett County Police Department,"1,418",25,,139,601,653,"14,574","3,343","10,024","1,207",63
,Hall,177,5,,14,35,123,"1,935",607,"1,108",220,13
,Haralson,140,0,,2,4,134,439,160,236,43,0
,Harris,9,0,,1,2,6,269,81,170,18,0
